User,Prompt
 What is a panic attack? ," Panic attacks come on suddenly and involve intense and often overwhelming fear. They’re accompanied by very challenging physical symptoms, like a racing heartbeat, shortness of breath, or nausea. Unexpected panic attacks occur without an obvious cause. Expected panic attacks are cued by external stressors, like phobias. Panic attacks can happen to anyone, but having more than one may be a sign of panic disorder, a mental health condition characterized by sudden and repeated panic attacks."
 What are symptoms of panic attack vs. anxiety attack? ," Panic and anxiety attacks may feel similar, and they share a lot of emotional and physical symptoms. You can experience both an anxiety and a panic attack at the same time. For instance, you might experience anxiety while worrying about a potentially stressful situation, like an important presentation at work. When the situation arrives, anxiety may culminate in a panic attack."
 What are the types of Mental Illness? , There are many different conditions that are recognized as mental illnesses. The more common types include
 What does mental-illness mean? ," Mental illness is a group of biological brain disorders that affect a person’s thinking, mood, emotions, sense of reality, ability to relate and daily functioning. Common disorders are anxiety, depression, schizophrenia, bipolar disorder etc. People of all ages are susceptible but adolescents & young adults are especially vulnerable."
 How can you treat mental illness? ," As these illnesses are biologically based brain disorders, a regimen of medication and therapy is needed. There is a misconception that mental illnesses such as depression, OCD (obsessive compulsive disorder) can be “snapped out of” or “overcome by willpower”, which is false and breeds a hostile atmosphere. Treatment incudes 3 main facets"
 Are patients with schizophrenia violent? ," Due to incorrect representation of the disease in media & books, there is a myth that schizophrenics are violent. The truth is most schizophrenics are docile and keep to themselves. The schizophrenics who have demonstrated bursts of violence are either in an acute stage of psychosis or are abusing an addictive substance."
 How to manage stress? ," Stress exhibits differently in different people. While some hide their feelings, other turn to alcohol and drugs. Some withdraw from the world whereas some are angry all the time, lashing out at close ones. The common factor with all these people is that they are under stress and are not able to manage it."
 My family has no history of mental illness. Does that mean I am immune? ," While family history plays a large role in developing mental illness, it is not the only factor. There are environmental and psychosocial factors that add to the risk factors. No one is immune from developing mental health illness."
 Do children have mental health issues? , Children may develop mental health illnesses. Their symptoms differ from adults
 What are the side effects of medication? ," Like other medication, psychiatric medication has its own set of side effects like Drowsiness, Restlessness, Dizziness, Dry mouth, Constipation, Nausea, and Vomiting."
 Are there cures for mental health problems? ," It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help."
 What causes mental health problems? ," Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events."
 What do I do if I’m worried about my mental health? ," The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help."
 How do I know if I’m unwell? ," If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help."
 What should I do if I’m worried about a friend or relative? , This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.
 How do I deal with someone telling me what to do?        ," Some people may advise you on good evidence of what works with the best of intentions, but it’s important to find out what works best for you."
 Can you prevent mental health problems? ," We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious."
 What is substance abuse? ," Substance abuse can simply be defined as a pattern of harmful use of any substance for mood-altering purposes. Medline's medical encyclopedia defines drug abuse as ""the use of illicit drugs or the abuse of prescription or over-the-counter drugs for purposes other than those for which they are indicated or in a manner or in quantities other than directed."
